Name,Year,Target,shear_200_850,shear_500_850,shear_200_500,shear_300_800,shear_850_1000,RH_avg,SST_avg,ROCI,v_0,Lat,RMW
CHANTAL,2001,0,27.701475539398192,13.86626789779663,24.76903513442993,21.594647290649416,8.711445306930543,80.34612274169922,28.12777099609372,150.0,50.0,15.3,22.236541767823486
ERIN,2001,1,17.967739969787598,9.02886147506714,17.8250926612854,15.203401267700196,5.03321719242096,74.54776000976562,28.713433837890648,180.0,45.0,25.6,35.651095449923254
JULIETTE,2001,1,24.580821660766603,18.03100427078247,25.575847302856445,15.538678705215457,6.251001690101623,85.96497344970703,29.147271728515648,120.0,,13.4,
GABRIELLE,2001,0,44.78195996520997,25.99283518157959,25.488444798583984,35.589262358703614,22.59085008956909,67.32180786132812,26.41536865234372,225.0,65.0,33.1,32.633914136970084
KAREN,2001,0,27.6401669871521,13.731632670898438,20.10383841384888,19.34670040985108,8.211821945648193,79.14153289794922,23.726129150390648,180.0,65.0,37.3,25.353247630152968
IRIS,2001,1,14.932822037963868,11.51015976913452,20.1583231640625,15.73433236618042,8.258861874084472,70.77692413330078,28.897607421875023,225.0,75.0,17.1,23.20799711156279
JERRY,2001,0,27.962911875457763,17.961628023223877,22.558662728881835,27.07514468536377,7.401615487213135,76.31102752685547,28.55880126953128,120.0,35.0,11.0,23.34522627011407
DEAN,2001,0,19.333777637786863,7.849493073425293,15.721917532653809,12.815657280960083,6.14642659954071,75.00320434570312,26.869317626953148,150.0,50.0,37.7,27.739706727820984
MICHELLE,2001,1,27.445752584991457,11.564678814468383,23.73591224822998,20.27207544342041,8.022934619216919,88.0292739868164,28.183953857421898,175.0,50.0,17.0,27.590799230753788
LORENA,2001,0,22.09720983642578,13.344457447509766,19.191488110809328,20.990782521057127,8.06998752418518,90.1930923461914,27.69161376953128,120.0,40.0,14.3,21.28081485167404
BARRY,2001,0,30.70145323196412,13.856343631515504,20.308011168060304,23.573010427093507,4.326495795860291,76.96202850341797,28.555566406250023,120.0,40.0,27.5,24.51861431410524
HUMBERTO,2001,0,30.70668833572388,11.297078625717162,21.66649834823608,20.230969497680665,8.309580649337768,66.22943878173828,24.925439453125023,150.0,65.0,39.6,20.428635125599513
EDOUARD,2002,0,34.34997018615723,20.974982666473387,21.265580977478027,27.26681733169556,6.873240302085876,71.9790267944336,28.450769042968773,180.0,35.0,30.5,47.76630271423813
HANNA,2002,0,27.26998545928955,23.32281547531128,26.430090549469,28.08110769012451,6.098839339523315,67.68343353271484,28.974908447265648,150.0,45.0,27.4,28.7377845936579
GUSTAV,2002,0,37.12214300598144,17.469472656097413,26.72835799087525,25.086481890106203,17.956116704711913,83.29927062988281,26.70577392578128,150.0,60.0,36.8,22.23626495993528
FAY,2002,0,30.56114169921875,17.017828168029784,30.1454681578064,23.96928405319214,7.019014027900696,79.97639465332031,29.389245605468773,175.0,35.0,27.8,45.09261616555507
ISIDORE,2002,1,27.929393493347167,13.620852944259644,24.770473675689697,21.15273334777832,9.171807243804931,82.04877471923828,29.58126220703128,175.0,50.0,19.5,28.55484670776309
