Name,Year
Allison,2001
Barry,2001
Chantal,2001
Dean,2001
Gabrielle,2001
Humberto,2001
Jerry,2001
Karen,2001
Lorena,2001
Bertha,2002
Cristobal,2002
Edouard,2002
Fay,2002
Gustav,2002
Hanna,2002
Kyle,2002
Bill,2003
Claudette,2003
Erika,2003
Grace,2003
Henri,2003
Kate,2003
Larry,2003
Mindy,2003
Odette,2003
Jimena,2003
Olaf,2003
Bonnie,2004
Earl,2004
Gaston,2004
Matthew,2004
Estelle,2004
Lester,2004
Arlene,2005
Bret,2005
Cindy,2005
Franklin,2005
Gert,2005
Harvey,2005
Irene,2005
Jose,2005
Maria,2005
Nate,2005
Ophelia,2005
Philippe,2005
Stan,2005
Tammy,2005
Adrian,2005
Alberto,2006
Beryl,2006
Chris,2006
Ernesto,2006
Gordon,2006
Andrea,2007
Barry,2007
Erin,2007
Gabrielle,2007
Ingrid,2007
Karen,2007
Lorenzo,2007
Noel,2007
Olga,2007
Henriette,2007
Cristobal,2008
Edouard,2008
Fay,2008
Kyle,2008
Ana,2009
Bill,2009
Claudette,2009
Danny,2009
Erika,2009
Andres,2009
Alex,2010
Bonnie,2010
Fiona,2010
Hermine,2010
Nicole,2010
Otto,2010
Richard,2010
Arlene,2011
Bret,2011
Don,2011
Emily,2011
Gert,2011
Harvey,2011
Irene,2011
Lee,2011
Maria,2011
Nate,2011
Alberto,2012
Beryl,2012
Debby,2012
Helene,2012
Isaac,2012
Leslie,2012
Nadine,2012
Patty,2012
Rafael,2012
Andrea,2013
Barry,2013
Chantal,2013
Dorian,2013
Fernand,2013
Gabrielle,2013
Humberto,2013
Ingrid,2013
Arthur,2014
Cristobal,2014
Dolly,2014
Edouard,2014
Fay,2014
Hanna,2014
Iselle,2014
Julio,2014
Polo,2014
Ana,2015
Bill,2015
Erika,2015
Kate,2015
Carlos,2015
Marty,2015
Bonnie,2016
Danielle,2016
Earl,2016
Hermine,2016
Julia,2016
Karl,2016
Bret,2017
Cindy,2017
Don,2017
Nate,2017
Lidia,2017
Norma,2017
Alberto,2018
Helene,2018
Isaac,2018
Kirk,2018
Andrea,2019
Barry,2019
Fernand,2019
Humberto,2019
Karen,2019
Nestor,2019
Olga,2019
Ivo,2019
Lorena,2019
Arthur,2020
Cristobal,2020
Fay,2020
Gonzalo,2020
Isaias,2020
Josephine,2020
Marco,2020
Nana,2020
Omar,2020
Paulette,2020
Sally,2020
Beta,2020
Claudette,2021
Danny,2021
Fred,2021
Henri,2021
Nicholas,2021
Peter,2021
Pamela,2021
Alex,2022
Bonnie,2022
Earl,2022
Fiona,2022
Julia,2022
Karl,2022
Lisa,2022
Nicole,2022
Kay,2022
Arlene,2023
Bret,2023
Cindy,2023
Harold,2023
Nigel,2023
Philippe,2023
Hone,2024
Alberto,2024
Chris,2024
Ernesto,2024
Nadine,2024
Sara,2024
Barry,2025
Chantal,2025
Fernand,2025
Imelda,2025
Jerry,2025
